app_guid,app_legacy_id,app_name,scan_url,scan_date,module
03ac1ca1-126c-4bf9-b2a4-2cb13f431ff5,967122,DIWA-1,StaticOverview:14212:967122:9930970:9912783:9928446,2020-12-08T15:29:21.000Z,PHP files within diwa.zip
03ac1ca1-126c-4bf9-b2a4-2cb13f431ff5,967122,DIWA-1,StaticOverview:14212:967122:9930970:9912783:9928446,2020-12-08T15:29:21.000Z,diwa.zip_htmlpythoncode.veracodegen.htmla.pya
03ac1ca1-126c-4bf9-b2a4-2cb13f431ff5,967122,DIWA-1,StaticOverview:14212:967122:9930970:9912783:9928446,2020-12-08T15:29:21.000Z,diwa.zip_htmljscode.veracodegen.htmla.jsa
06f7cfd7-8748-4e74-9ddb-ff7257908cd2,967123,JWTDemo-1,StaticOverview:14212:967123:9938840:9914235:9929898,2020-12-08T14:47:33.000Z,PHP files within jwtdemo.zip
e0233e00-f0b1-4ede-abac-c914ce686268,967124,DVPWA-1,StaticOverview:14212:967124:9938841:9914236:9929899,2020-12-08T14:48:51.000Z,dvpwa.zip_htmlpythoncode.veracodegen.htmla.pya
e0233e00-f0b1-4ede-abac-c914ce686268,967124,DVPWA-1,StaticOverview:14212:967124:9938841:9914236:9929899,2020-12-08T14:48:51.000Z,dvpwa.zip_htmljscode.veracodegen.htmla.jsa
f5ce1b04-3fac-4011-93f5-7650a0d35727,967125,DVSWA-1,StaticOverview:14212:967125:9938847:9914242:9929905,2020-12-08T14:47:27.000Z,PHP files within dvswa.zip
4ca349bf-583b-4b84-a28b-31b2d86f4def,967127,DjangoGoat-1,StaticOverview:14212:967127:9938849:9914244:9929907,2020-12-08T14:52:27.000Z,djangogoat.zip_htmlpythoncode.veracodegen.htmla.pya
4ca349bf-583b-4b84-a28b-31b2d86f4def,967127,DjangoGoat-1,StaticOverview:14212:967127:9938849:9914244:9929907,2020-12-08T14:52:27.000Z,djangogoat.zip_htmljscode.veracodegen.htmla.jsa
919940b8-a7a9-4ab9-90de-a6af628c1934,967128,Mutillidae-1,StaticOverview:14212:967128:9938851:9914246:9929909,2020-12-08T15:25:18.000Z,PHP files within mutillidae.zip
919940b8-a7a9-4ab9-90de-a6af628c1934,967128,Mutillidae-1,StaticOverview:14212:967128:9938851:9914246:9929909,2020-12-08T15:25:18.000Z,mutillidae.zip_htmljscode.veracodegen.htmla.jsa
b477fb92-74b1-4061-aacc-a874b7231c4b,967129,NoSQLILab-1,StaticOverview:14212:967129:9938853:9914248:9929911,2020-12-08T14:48:47.000Z,PHP files within nosqlilab.zip
b477fb92-74b1-4061-aacc-a874b7231c4b,967129,NoSQLILab-1,StaticOverview:14212:967129:9938853:9914248:9929911,2020-12-08T14:48:47.000Z,nosqlilab.zip_htmljscode.veracodegen.htmla.jsa
6658cd2d-ebf9-41f0-8759-f8aa7c0e673c,967130,Pixi-1,StaticOverview:14212:967130:9938856:9914251:9929914,2020-12-08T14:47:37.000Z,pixi.zip_htmljscode.veracodegen.htmla.jsa
4f93cffc-8048-47be-8fe4-a1f1782fdbfc,967131,OWASPSecurityShepherd-1,StaticOverview:14212:967131:9938859:9914254:9929917,2020-12-08T14:52:20.000Z,owaspSecurityShepherd.war
4f93cffc-8048-47be-8fe4-a1f1782fdbfc,967131,OWASPSecurityShepherd-1,StaticOverview:14212:967131:9938859:9914254:9929917,2020-12-08T14:52:20.000Z,owaspSecurityShepherd.war_htmljscode.veracodegen.htmla.jsa
0c41eb60-3041-4a09-8b5e-1931d7185fc1,967132,tiredful-api-1,StaticOverview:14212:967132:9938864:9914259:9929922,2020-12-08T14:50:13.000Z,tiredful-api.zip_htmlpythoncode.veracodegen.htmla.pya
0c41eb60-3041-4a09-8b5e-1931d7185fc1,967132,tiredful-api-1,StaticOverview:14212:967132:9938864:9914259:9929922,2020-12-08T14:50:13.000Z,tiredful-api.zip_htmljscode.veracodegen.htmla.jsa
79e8f8a5-5126-44ec-9a93-641eb647645c,967133,vulnerable-otp-application-1,StaticOverview:14212:967133:9938866:9914261:9929924,2020-12-08T14:48:52.000Z,PHP files within vulnerable-otp-application.zip
edf4fd0f-51e8-42de-86c9-49dd664c59c9,967134,VulnerableSAMLApp-1,StaticOverview:14212:967134:9938867:9914262:9929925,2020-12-08T14:49:54.000Z,vulnerablesamlapp.zip_htmlpythoncode.veracodegen.htmla.pya
edf4fd0f-51e8-42de-86c9-49dd664c59c9,967134,VulnerableSAMLApp-1,StaticOverview:14212:967134:9938867:9914262:9929925,2020-12-08T14:49:54.000Z,vulnerablesamlapp.zip_htmljscode.veracodegen.htmla.jsa
edf4fd0f-51e8-42de-86c9-49dd664c59c9,967134,VulnerableSAMLApp-1,StaticOverview:14212:967134:9938867:9914262:9929925,2020-12-08T14:49:54.000Z,PHP files within vulnerablesamlapp.zip
afdba373-876c-4694-b019-806e18bfcfc8,967135,xvwa-1,StaticOverview:14212:967135:9938869:9914264:9929927,2020-12-08T14:50:37.000Z,PHP files within xvwa.zip
afdba373-876c-4694-b019-806e18bfcfc8,967135,xvwa-1,StaticOverview:14212:967135:9938869:9914264:9929927,2020-12-08T14:50:37.000Z,xvwa.zip_htmljscode.veracodegen.htmla.jsa
f93b1675-da21-4ea2-b7e2-c752d553043d,967136,dvws-node-1,StaticOverview:14212:967136:9938871:9914266:9929929,2020-12-08T14:51:09.000Z,dvws-node.zip_htmljscode.veracodegen.htmla.jsa
52de93fd-0d40-4a08-ae45-135fc3777a93,967137,twitterlike-1,StaticOverview:14212:967137:9938873:9914268:9929931,2020-12-08T14:50:36.000Z,PHP files within twitterlike.zip
52de93fd-0d40-4a08-ae45-135fc3777a93,967137,twitterlike-1,StaticOverview:14212:967137:9938873:9914268:9929931,2020-12-08T14:50:36.000Z,twitterlike.zip_htmljscode.veracodegen.htmla.jsa
723ed591-33b3-48a2-bb04-d1fdb0d1bd00,967138,vulnerable-api-1,StaticOverview:14212:967138:9938875:9914270:9929933,2020-12-08T14:49:55.000Z,vulnerable-api.zip_htmlpythoncode.veracodegen.htmla.pya
c50e40e6-a3f3-4ade-82c1-de2c4f2e86bd,970874,webgoatphp-1,StaticOverview:14212:970874:9938876:9914271:9929934,2020-12-08T14:52:26.000Z,PHP files within webgoatphp.zip
c50e40e6-a3f3-4ade-82c1-de2c4f2e86bd,970874,webgoatphp-1,StaticOverview:14212:970874:9938876:9914271:9929934,2020-12-08T14:52:26.000Z,webgoatphp.zip_htmljscode.veracodegen.htmla.jsa
b45293a8-1a64-4643-842d-c51cad64096d,970909,TicketMagpie-1,StaticOverview:14212:970909:9938861:9914256:9929919,2020-12-08T14:47:35.000Z,ticketmagpie-0.1.0.jar_htmljscode.veracodegen.htmla.jsa
